0,2,3,5,5,9,1,11,11,11,14,12,7,8,16,18,14,19,18,15,21,15,19,20,21,23,17,26,26,25,30,31,27,28,31,21,20,11,27,30,33,33,17,11,26,22,26,29,28,33,35,35,26,35,30,26,31,31,34,33,30,32,35,19,36,21,29,38,26,33,38,0,2,3,5,5,9,1,11,11,11,14,12,7,8,16,18,14,19,18,15,21,15,19,20,21,23,17,26,26,25,30,31,27,28,31,21,20,11,27,30,33,33,17,11,26,22,26,29,28,33,35,35,26,35,30,26,31,31,34,33,30,32,35,19,36,21,29,38,26,33,38,0,2,3,5,5,9,1,11,11,11,14,12,7,8,16,18,14,19,18,15,21,15,19,20,21,23,17,26,26,25,30,31,27,28,31,21,20,11,27,30,33,33,17,11,26,22,26,29,28,33,35,35,26,35,30,26,31,31,34,33,30,32,35,19,36,21,29,38,26,33,38
2,0,5,3,3,7,1,9,9,9,12,10,5,6,14,16,12,17,16,13,19,13,17,18,19,21,15,24,24,23,28,29,25,26,29,19,18,9,25,28,31,31,15,9,24,20,24,27,26,31,33,33,24,33,28,24,29,29,32,31,28,30,33,17,34,19,27,36,24,31,36,2,0,5,3,3,7,1,9,9,9,12,10,5,6,14,16,12,17,16,13,19,13,17,18,19,21,15,24,24,23,28,29,25,26,29,19,18,9,25,28,31,31,15,9,24,20,24,27,26,31,33,33,24,33,28,24,29,29,32,31,28,30,33,17,34,19,27,36,24,31,36,2,0,5,3,3,7,1,9,9,9,12,10,5,6,14,16,12,17,16,13,19,13,17,18,19,21,15,24,24,23,28,29,25,26,29,19,18,9,25,28,31,31,15,9,24,20,24,27,26,31,33,33,24,33,28,24,29,29,32,31,28,30,33,17,34,19,27,36,24,31,36
3,5,0,8,8,12,4,14,14,14,17,15,10,11,19,21,17,22,21,18,24,18,22,23,24,26,20,29,29,28,33,34,30,31,34,24,23,14,30,33,36,36,20,14,29,25,29,32,31,36,38,38,29,38,33,29,34,34,37,36,33,35,38,22,39,24,32,41,29,36,41,3,5,0,8,8,12,4,14,14,14,17,15,10,11,19,21,17,22,21,18,24,18,22,23,24,26,20,29,29,28,33,34,30,31,34,24,23,14,30,33,36,36,20,14,29,25,29,32,31,36,38,38,29,38,33,29,34,34,37,36,33,35,38,22,39,24,32,41,29,36,41,3,5,0,8,8,12,4,14,14,14,17,15,10,11,19,21,17,22,21,18,24,18,22,23,24,26,20,29,29,28,33,34,30,31,34,24,23,14,30,33,36,36,20,14,29,25,29,32,31,36,38,38,29,38,33,29,34,34,37,36,33,35,38,22,39,24,32,41,29,36,41
5,3,8,0,0,4,4,6,6,6,9,7,2,3,11,13,9,14,13,10,16,10,14,15,16,18,12,21,21,20,25,26,22,23,26,16,15,6,22,25,28,28,12,6,21,17,21,24,23,28,30,30,21,30,25,21,26,26,29,28,25,27,30,14,31,16,24,33,21,28,33,5,3,8,0,0,4,4,6,6,6,9,7,2,3,11,13,9,14,13,10,16,10,14,15,16,18,12,21,21,20,25,26,22,23,26,16,15,6,22,25,28,28,12,6,21,17,21,24,23,28,30,30,21,30,25,21,26,26,29,28,25,27,30,14,31,16,24,33,21,28,33,5,3,8,0,0,4,4,6,6,6,9,7,2,3,11,13,9,14,13,10,16,10,14,15,16,18,12,21,21,20,25,26,22,23,26,16,15,6,22,25,28,28,12,6,21,17,21,24,23,28,30,30,21,30,25,21,26,26,29,28,25,27,30,14,31,16,24,33,21,28,33
5,3,8,0,0,4,4,6,6,6,9,7,2,3,11,13,9,14,13,10,16,10,14,15,16,18,12,21,21,20,25,26,22,23,26,16,15,6,22,25,28,28,12,6,21,17,21,24,23,28,30,30,21,30,25,21,26,26,29,28,25,27,30,14,31,16,24,33,21,28,33,5,3,8,0,0,4,4,6,6,6,9,7,2,3,11,13,9,14,13,10,16,10,14,15,16,18,12,21,21,20,25,26,22,23,26,16,15,6,22,25,28,28,12,6,21,17,21,24,23,28,30,30,21,30,25,21,26,26,29,28,25,27,30,14,31,16,24,33,21,28,33,5,3,8,0,0,4,4,6,6,6,9,7,2,3,11,13,9,14,13,10,16,10,14,15,16,18,12,21,21,20,25,26,22,23,26,16,15,6,22,25,28,28,12,6,21,17,21,24,23,28,30,30,21,30,25,21,26,26,29,28,25,27,30,14,31,16,24,33,21,28,33
9,7,12,4,4,0,8,2,2,2,5,3,2,1,7,9,5,10,9,6,12,6,10,11,12,14,8,17,17,16,21,22,18,19,22,12,11,2,18,21,24,24,8,2,17,13,17,20,19,24,26,26,17,26,21,17,22,22,25,24,21,23,26,10,27,12,20,29,17,24,29,9,7,12,4,4,0,8,2,2,2,5,3,2,1,7,9,5,10,9,6,12,6,10,11,12,14,8,17,17,16,21,22,18,19,22,12,11,2,18,21,24,24,8,2,17,13,17,20,19,24,26,26,17,26,21,17,22,22,25,24,21,23,26,10,27,12,20,29,17,24,29,9,7,12,4,4,0,8,2,2,2,5,3,2,1,7,9,5,10,9,6,12,6,10,11,12,14,8,17,17,16,21,22,18,19,22,12,11,2,18,21,24,24,8,2,17,13,17,20,19,24,26,26,17,26,21,17,22,22,25,24,21,23,26,10,27,12,20,29,17,24,29
1,1,4,4,4,8,0,10,10,10,13,11,6,7,15,17,13,18,17,14,20,14,18,19,20,22,16,25,25,24,29,30,26,27,30,20,19,10,26,29,32,32,16,10,25,21,25,28,27,32,34,34,25,34,29,25,30,30,33,32,29,31,34,18,35,20,28,37,25,32,37,1,1,4,4,4,8,0,10,10,10,13,11,6,7,15,17,13,18,17,14,20,14,18,19,20,22,16,25,25,24,29,30,26,27,30,20,19,10,26,29,32,32,16,10,25,21,25,28,27,32,34,34,25,34,29,25,30,30,33,32,29,31,34,18,35,20,28,37,25,32,37,1,1,4,4,4,8,0,10,10,10,13,11,6,7,15,17,13,18,17,14,20,14,18,19,20,22,16,25,25,24,29,30,26,27,30,20,19,10,26,29,32,32,16,10,25,21,25,28,27,32,34,34,25,34,29,25,30,30,33,32,29,31,34,18,35,20,28,37,25,32,37
11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27,11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27,11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27
11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27,11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27,11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27
11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27,11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27,11,9,14,6,6,2,10,0,0,0,3,1,4,3,5,7,3,8,7,4,10,4,8,9,10,12,6,15,15,14,19,20,16,17,20,10,9,0,16,19,22,22,6,0,15,11,15,18,17,22,24,24,15,24,19,15,20,20,23,22,19,21,24,8,25,10,18,27,15,22,27
14,12,17,9,9,5,13,3,3,3,0,2,7,6,2,4,0,5,4,1,7,1,5,6,7,9,3,12,12,11,16,17,13,14,17,7,6,3,13,16,19,19,3,3,12,8,12,15,14,19,21,21,12,21,16,12,17,17,20,19,16,18,21,5,22,7,15,24,12,19,24,14,12,17,9,9,5,13,3,3,3,0,2,7,6,2,4,0,5,4,1,7,1,5,6,7,9,3,12,12,11,16,17,13,14,17,7,6,3,13,16,19,19,3,3,12,8,12,15,14,19,21,21,12,21,16,12,17,17,20,19,16,18,21,5,22,7,15,24,12,19,24,14,12,17,9,9,5,13,3,3,3,0,2,7,6,2,4,0,5,4,1,7,1,5,6,7,9,3,12,12,11,16,17,13,14,17,7,6,3,13,16,19,19,3,3,12,8,12,15,14,19,21,21,12,21,16,12,17,17,20,19,16,18,21,5,22,7,15,24,12,19,24
